Fecha,Sociedad,Clase,Moneda,Monto_emision,Regimen,TNA_inicial,Plazo_meses,MONTO_ARS_EMISION_MILLONES,SECTOR
2016-05-20,Compañía Financiera Argentina S.A.,Clase XVII Serie I,ARS,58333332,General,0.3600,18.3,58.3333,FINANCIERO
2016-05-20,Compañía Financiera Argentina S.A.,Clase XVII Serie II,ARS,287500000,General,0.3611,36.5,287.5000,FINANCIERO
2016-05-27,PREAR Pretensados Argentinos S.A.,Clase I Serie I,ARS,27560000,General,0.3781,12.2,27.5600,INDUSTRIA
2016-05-30,Intek S.A.,Serie I,ARS,15000000,PyME,0.3638,24.3,15.0000,INDUSTRIA
2016-06-08,Cablevisión S.A.,Clase A,USD,500000000,General,0.0650,60.9,6917.5000,SERVICIOS_NO_FINANCIEROS
2016-06-08,Central Térmica Roca S.A.,Clase III,ARS,170262333,General,0.3600,24.3,170.2623,ENERGIA
2016-06-09,Empresa Distribuidora de Electricidad de Salta S.A. (EDESA),Clase II,USD,65000000,General,0.1150,60.9,899.2700,ENERGIA
2016-06-10,Gpat Compañía Financiera S.A.,Serie XXIII Clase A,ARS,106500000,General,0.3200,18.3,106.5000,FINANCIERO
2016-06-10,Gpat Compañía Financiera S.A.,Serie XXIII Clase B,ARS,188888888,General,0.3300,36.5,188.8889,FINANCIERO
2016-06-16,Toyota Compañía Financiera de Argentina S.A.,Clase 19,ARS,130000000,General,0.3205,24.3,130.0000,FINANCIERO
2016-06-23,Rogiro Aceros S.A.,Serie X,ARS,38500000,General,0.3013,12.2,38.5000,INDUSTRIA
2016-06-23,Petrolera Pampa S.A.,Clase 8,ARS,403349473,General,0.3213,12.0,403.3495,ENERGIA
2016-06-27,Tarjeta Naranja S.A.,Clase XXXIV Serie I,ARS,124602800,General,0.3200,18.3,124.6028,FINANCIERO
2016-06-27,Tarjeta Naranja S.A.,Clase XXXIV Serie II,ARS,475397200,General,0.3242,48.7,475.3972,FINANCIERO
2016-06-28,Generación Mediterránea S.A.,Clase V,ARS,200000000,General,0.3150,24.3,200.0000,ENERGIA
2016-06-29,Arcor S.A.I.C.,Clase 9,USD,350000000,General,0.0600,85.2,5216.5000,INDUSTRIA
2016-06-29,Meranol S.A.C.I.,Clase 1,USD,1370000,PyME,0.0500,36.5,20.4000,INDUSTRIA
2016-06-29,Meranol S.A.C.I.,Clase 2,ARS,78080985,PyME,0.2719,36.5,78.0810,INDUSTRIA
2016-06-30,YPF S.A.,Clase L,ARS,11247675000,General,0.3063,48.7,11247.6750,ENERGIA
2016-07-01,John Deere Credit Compañía Financiera S.A.,Clase VII,USD,18250000,General,0.0675,36.5,275.9000,FINANCIERO
2016-07-04,Generación Frías S.A.,Clase III,ARS,160000000,General,0.3198,24.3,160.0000,ENERGIA
2016-07-07,Banco Itaú Argentina S.A.,Clase 18,ARS,182222222,General,0.2894,18.3,182.2222,FINANCIERO
2016-07-07,Banco Itaú Argentina S.A.,Clase 19,ARS,317777778,General,0.2958,36.5,317.7778,FINANCIERO
2016-07-19,Banco de Galicia y Buenos Aires S.A.,Clase II,USD,250000000,General,0.0825,121.7,3655.1000,FINANCIERO
2016-07-14,Petrobras Argentina S.A.,Serie T,USD,500000000,General,0.0738,85.2,7310.2000,ENERGIA
2016-07-14,CLISA Cía Latinoamericana de Infraestructura y Servicios S.A.,Clase única,USD,200000000,General,0.0950,85.2,2924.1000,CONSTRUCCION_E_INFRAESTRUCTURA
2016-07-15,Banco Santander Río S.A.,Clase XII,ARS,106666666,General,0.2856,18.3,106.6667,FINANCIERO
2016-07-15,Banco Santander Río S.A.,Clase XIII,ARS,541800000,General,0.2931,36.5,541.8000,FINANCIERO
2016-07-20,TGLT S.A.,Clase XII,ARS,96666666,General,0.3213,18.3,96.6667,CONSTRUCCION_E_INFRAESTRUCTURA
2016-07-20,Generación Mediterránea S.A.,Individual,USD,250000000,General,0.0963,85.2,3749.2000,ENERGIA
2016-07-20,Ledesma S.A.A.I.,Clase V,ARS,400000000,General,0.2987,36.5,400.0000,INDUSTRIA
2016-07-21,Tarjetas Cuyanas S.A.,Clase XXV Serie II,ARS,400000000,General,0.2963,48.7,400.0000,FINANCIERO
